nome,uc,municipio_uc,latitude_uc,longitude_uc,macroregiao,regional
SDO-TDO-74006894-UNIMED COSTA OESTE COOPERATIVA DE TRABALHO MEDICO,74006894,TOLEDO,-24.72596,-53.74218,SDO,TDO
SDL-CBN-64235700-INGRAX INDUSTRIA E COMERCIO DE GRAXAS SA,64235700,COLOMBO,-25.39071,-49.1858,SDL,CBN
SDL-CBN-41422775-COMPANHIA DE SANEAMENTO DO PARANA SANEPAR,41422775,ALMIRANTE TAMANDARE,-25.26708,-49.29318,SDL,CBN
SDO-CEL-42350611-COOPAVEL COOPERATIVA AGROINDUSTRIAL,42350611,CASCAVEL,-25.00606,-53.26339,SDO,CEL
SDC-UVI-46855025-PLASTIBRASIL INDUSTRIA E COMERCIO DE PLASTICOS EIRELI,46855025,UNIAO DA VITORIA,-26.24202,-51.11982,SDC,UVI
SDO-CEL-58762329-PLANTAR COMERCIO DE INSUMOS LTDA,58762329,CASCAVEL,-24.88789,-53.54903,SDO,CEL
SDL-CTA-77411609-COMPANHIA DE SANEAMENTO DO PARANA SANEPAR,77411609,CURITIBA,-25.56464,-49.2467,SDL,CTA
SDO-TDO-43715010-COOP DE ELETRIF E DESENV ECONOMICO DE MAL CDO RONDON CERCAR,43715010,MARECHAL CANDIDO RONDON,-24.5676,-54.0176,SDO,TDO
SDN-UMU-50792180-COMPANHIA DE SANEAMENTO DO PARANA SANEPAR,50792180,UMUARAMA,-23.76872,-53.33234,SDN,UMU
SDC-IRT-45696985-LAMINADORA SAO JANUARIO LTDA ME,45696985,PINHAO,-25.70647,-51.63793,SDC,IRT
SDO-CEL-87475839-ALVINO MAYER E CIA LTDA,87475839,BOA VISTA DA APARECIDA,-25.43818,-53.4195,SDO,CEL
SDO-FBL-55210104-CATARATAS DO IGUACU PRODUTOS ORGANICOS LTDA,55210104,CAPANEMA,-25.68293,-53.80005,SDO,FBL
SDT-LNA-43188974-MITRA ARQUIDIOCESANA DE LONDRINA,43188974,LONDRINA,-23.31191,-51.17645,SDT,LNA
SDL-CTA-28141660-FUNDO MUNICIPAL DA SAUDE,28141660,CURITIBA,-25.48809,-49.32055,SDL,CTA
SDT-CPO-48778818-E C TORRES GROSSE CERAMICA ME,48778818,SANTO ANTONIO DA PLATINA,-23.32059,-50.07054,SDT,CPO
SDL-SJP-45920958-ENVASE COMERCIO DE EMBALAGENS LTDA,45920958,ARAUCARIA,-25.54224,-49.35862,SDL,SJP
SDT-APA-57753156-COAMO AGROINDUSTRIAL COOPERATIVA,57753156,JARDIM ALEGRE,-24.21129,-51.69361,SDT,APA
SDO-PTO-31896294-COOPERATIVA AGRICOLA MISTA SAO CRISTOVAO LTDA,31896294,MARIOPOLIS,-26.36091,-52.5493,SDO,PTO
SDC-PGO-82752591-SECRETARIA DE ESTADO DA EDUCACAO E DO ESPORTE,82752591,PONTA GROSSA,-25.10485,-50.16618,SDC,PGO
SDL-CBN-46412760-AUTO POSTO TULIO LTDA,46412760,CAMPINA GRANDE DO SUL,-25.36527,-49.09688,SDL,CBN
SDT-LNA-39678890-CIPASA COMERCIO DE VEICULOS LTDA,39678890,LONDRINA,-23.31189,-51.16419,SDT,LNA
SDT-LNA-45291063-GALVANORTE GALVANIZACAO DE METAIS LTDA,45291063,LONDRINA,-23.28658,-51.209,SDT,LNA
SDL-CBN-43182402-DTCOM DIRECT TO COMPANY S A,43182402,QUATRO BARRAS,-25.37128,-49.05947,SDL,CBN
SDT-APA-60918179-GUT INDUSTRIA E COMERCIO DE GELO LTDA,60918179,IVAIPORA,-24.21568,-51.67779,SDT,APA
SDN-MGA-46459251-FENIX DO BRASIL LTDA ME,46459251,MARINGA,-23.42783,-51.98011,SDN,MGA
SDL-LIT-81092466-DALMORA E CIA LTDA,81092466,MATINHOS,-25.83618,-48.54616,SDL,LIT
SDL-CBN-25579169-MUNICIPIO DE CAMPINA GRANDE DO SUL,25579169,CAMPINA GRANDE DO SUL,-25.3565,-49.10857,SDL,CBN
SDO-TDO-58737863-COMPANHIA DE SANEAMENTO DO PARANA SANEPAR,58737863,TOLEDO,-24.7162,-53.72208,SDO,TDO
SDC-PGO-4334329-DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DO PARANA,4334329,PONTA GROSSA,-25.07738,-50.20416,SDC,PGO
SDC-UVI-77630114-SUPERMERCADO CHIPITOSKI LTDA,77630114,PORTO UNIAO,-26.25189,-51.07203,SDC,UVI
SDT-CPO-41700929-COMPANHIA DE SANEAMENTO DO PARANA SANEPAR,41700929,ASSAI,-23.43926,-50.82484,SDT,CPO
SDT-CPO-19453426-ALGODOEIRA TAJI INDUSTRIA E COMERCIO LTDA,19453426,SANTA AMELIA,-23.26275,-50.41832,SDT,CPO
SDN-MGA-57514623-C I INDUSTRIA E COMERCIO DE MANGUEIRAS LTDA,57514623,MARINGA,-23.42897,-51.97265,SDN,MGA
SDN-PVI-42444098-SANTINI E BERGAMASCO LTDA,42444098,SAO CARLOS DO IVAI,-23.32288,-52.48175,SDN,PVI
SDO-FBL-80042040-BRF S A,80042040,FRANCISCO BELTRAO,-26.03206,-53.06272,SDO,FBL
SDO-FOZ-36033111-COMPANHIA DE SANEAMENTO DO PARANA SANEPAR,36033111,FOZ DO IGUACU,-25.44592,-54.55134,SDO,FOZ
SDT-LNA-54590957-EMPRESA BRASILEIRA DE INFRAESTRUTURA AEROPORTUARIA INFRAERO,54590957,LONDRINA,-23.32893,-51.13675,SDT,LNA
SDN-MGA-31446515-MINISTERIO PUBLICO DO ESTADO DO PARANA,31446515,MARINGA,-23.42447,-51.93734,SDN,MGA
SDT-LNA-67474837-FUNDACAO DE ESPORTES DE LONDRINA,67474837,LONDRINA,-23.32183,-51.16446,SDT,LNA
SDO-TDO-83940995-TRANSFORMADORA DE METAIS DARTA LTDA,83940995,MARECHAL CANDIDO RONDON,-24.56651,-54.03624,SDO,TDO
SDL-SJP-88776255-CERAMICA PRINCIVAL LTDA,88776255,SAO JOSE DOS PINHAIS,-25.63486,-49.24895,SDL,SJP
SDL-SJP-60557060-CLONE VIVEIROS E FRUTICULTURA LTDA,60557060,LAPA,-25.77761,-49.78958,SDL,SJP
SDO-TDO-26080346-SECRETARIA DE ESTADO DA EDUCACAO E DO ESPORTE,26080346,PALOTINA,-24.26426,-53.83742,SDO,TDO
SDT-CPO-83756710-FRANGOS PIONEIRO INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,83756710,JOAQUIM TAVORA,-23.49769,-49.92702,SDT,CPO
SDN-CMO-38921871-JUSTICA FEDERAL DE PRIMEIRO GRAU NO PARANA,38921871,CAMPO MOURAO,-24.04384,-52.37518,SDN,CMO
SDT-LNA-76917738-OI S.A. - EM RECUPERACAO JUDICIAL,76917738,LONDRINA,-23.31369,-51.16168,SDT,LNA
SDO-FOZ-64135160-MUNICIPIO DE FOZ DO IGUACU,64135160,FOZ DO IGUACU,-25.48465,-54.50587,SDO,FOZ
SDN-MGA-65955170-MARCO A COSTA E CIA LTDA,65955170,MARINGA,-23.42417,-51.94054,SDN,MGA
SDO-CEL-38325004-RODOVIA DAS CATARATAS S A ECOCATARATAS,38325004,LARANJEIRAS DO SUL,-25.34696,-52.49048,SDO,CEL
SDO-CEL-65484541-SONIA MARIA MULLER,65484541,GUARANIACU,-25.11448,-52.85286,SDO,CEL
SDC-PGO-29487951-COOPERATIVA DE CREDITO E INVESTIMENTO DE LIVRE ADMISSAO CAMPOS ,29487951,PONTA GROSSA,-25.09601,-50.16231,SDC,PGO
SDO-TDO-28292871-I RIEDI E CIA LTDA,28292871,ASSIS CHATEAUBRIAND,-24.41407,-53.53161,SDO,TDO
SDT-LNA-75961067-BRUNA LUIZA CABELEIREIROS ESTETICA E COM DE COSMETICOS LTDA,75961067,LONDRINA,-23.30913,-51.16808,SDT,LNA
SDT-APA-31076734-MARUTANI ALIMENTOS LTDA.,31076734,ARAPONGAS,-23.48952,-51.44309,SDT,APA
SDL-CTA-62180045-ITAU UNIBANCO S.A.,62180045,CURITIBA,-25.41686,-49.24903,SDL,CTA
SDO-TDO-20255012-I RIEDI E CIA LTDA,20255012,TOLEDO,-24.71343,-53.7616,SDO,TDO
SDL-SJP-42190037-PONTUAL BRASIL PETROLEO LTDA,42190037,ARAUCARIA,-25.55329,-49.36931,SDL,SJP
SDN-MGA-63745291-ONIX DISTRIBUIDORA DE PRODUTOS ELETRICOS LTDA,63745291,MANDAGUARI,-23.50783,-51.69947,SDN,MGA
SDN-PVI-44730586-COCAMAR COOPERATIVA AGROINDUSTRIAL,44730586,PARANACITY,-22.93562,-52.14103,SDN,PVI
SDL-CTA-45625344-TELEFONICA BRASIL SA,45625344,CURITIBA,-25.49795,-49.3015,SDL,CTA
SDL-CTA-24060658-CONDOMINIO CENTRO EMPRESARIAL BUSINESS TOWER,24060658,CURITIBA,-25.44307,-49.28161,SDL,CTA
SDN-PVI-92154743-N ZEPPONE E CIA LTDA,92154743,MARILENA,-22.74323,-53.02556,SDN,PVI
SDC-UVI-41288840-ERVATEIRA SEIVA PURA LTDA,41288840,CRUZ MACHADO,-25.95058,-51.26483,SDC,UVI
SDT-APA-46587780-CORTEZ COMERCIO DE CEREAIS LTDA,46587780,FAXINAL,-23.98733,-51.31219,SDT,APA
SDN-MGA-45175730-RODOVIAS INTEGRADAS DO PARANA S A,45175730,MARINGA,-23.4767,-52.00124,SDN,MGA
SDL-CBN-6831460-SECRETARIA DE ESTADO DA SEGURANCA PUBLICA,6831460,PIRAQUARA,-25.41718,-49.07788,SDL,CBN
SDL-CBN-79128416-ORGANIZACAO EDUCACIONAL EXPOENTE LTDA,79128416,PINHAIS,-25.42906,-49.1922,SDL,CBN
SDO-TDO-44476256-COMPANHIA DE SANEAMENTO DO PARANA SANEPAR,44476256,TOLEDO,-24.67243,-53.71916,SDO,TDO
SDL-CBN-78978750-SUPERMERCADO AQUILA LTDA,78978750,PINHAIS,-25.40478,-49.18268,SDL,CBN
SDL-SJP-59126701-C S I CARGO LOGISTICA INTEGRAL SA,59126701,SAO JOSE DOS PINHAIS,-25.57663,-49.17872,SDL,SJP
SDN-CMO-60162430-ZAFALON COMERCIO DE COMBUSTIVEIS LTDA,60162430,JURANDA,-24.34815,-52.73376,SDN,CMO
SDL-CTA-88617491-CEQNEP CENTRAL MANIP QUIMIOT NUTRICAO ENT E PARENT LTDA,88617491,CURITIBA,-25.43412,-49.28519,SDL,CTA
SDN-UMU-75837951-NEWTON BONIN,75837951,TAPIRA,-23.26205,-53.02975,SDN,UMU
SDL-CBN-48004936-COMPANHIA DE SANEAMENTO DO PARANA SANEPAR,48004936,COLOMBO,-25.28197,-49.19388,SDL,CBN
SDT-LNA-37258672-CAMARA MUNICIPAL DE LONDRINA,37258672,LONDRINA,-23.33397,-51.15086,SDT,LNA
SDT-CPO-99068850-INTEGRADA COOPERATIVA AGROINDUSTRIAL,99068850,URAI,-23.25992,-50.77862,SDT,CPO
SDC-PGO-22862323-SANTA CASA DE MISERICORDIA DE PONTA GROSSA,22862323,PONTA GROSSA,-25.08886,-50.16194,SDC,PGO
SDC-PGO-58163921-CELSO MACEDO KOSSATZ,58163921,PONTA GROSSA,-25.03416,-50.29561,SDC,PGO
SDL-CTA-19450303-COMPANHIA DE SANEAMENTO DO PARANA SANEPAR,19450303,CURITIBA,-25.42942,-49.2228,SDL,CTA
SDL-SJP-41381823-COMPANHIA DE SANEAMENTO DO PARANA SANEPAR,41381823,SAO JOSE DOS PINHAIS,-25.55536,-49.12236,SDL,SJP
SDL-CTA-63301628-MODELO FERRAMENTARIA E ESTAMPARIA LTDA,63301628,CURITIBA,-25.49408,-49.31724,SDL,CTA
SDN-PVI-46480226-BELATRIZ ARTEFATOS DE METAIS LTDA,46480226,PARANAVAI,-23.08939,-52.45777,SDN,PVI
SDL-CTA-1937081-LOJAS AMERICANAS S A,1937081,CURITIBA,-25.42398,-49.27082,SDL,CTA
SDT-LNA-65701917-BUSSADORI GARCIA & CIA LTDA,65701917,SERTANOPOLIS,-23.03929,-51.03673,SDT,LNA
SDL-CTA-46969519-ETOILE DISTRIBUIDORA DE VEICULOS LTDA,46969519,CURITIBA,-25.46355,-49.25528,SDL,CTA
SDT-LNA-90809785-PALHA INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,90809785,IBIPORA,-23.29138,-51.07836,SDT,LNA
SDT-LNA-88440320-TRASSI E CIA LTDA,88440320,CAMBE,-23.29341,-51.31662,SDT,LNA
SDL-CTA-67346502-CALLFARMA COMERCIO DE MEDICAMENTOS EIRELI ME,67346502,CURITIBA,-25.42204,-49.29114,SDL,CTA
SDL-CTA-72702141-COMPANHIA DE SANEAMENTO DO PARANA SANEPAR,72702141,CURITIBA,-25.51551,-49.2145,SDL,CTA
SDL-CTA-69130809-SECRETARIA DE ESTADO DA SEGURANCA PUBLICA,69130809,CURITIBA,-25.46631,-49.29652,SDL,CTA
SDO-CEL-43273491-FUNDO ESTADUAL DE SAUDE DO PARANA FUNSAUDE,43273491,CASCAVEL,-24.97385,-53.49569,SDO,CEL
SDO-TDO-92233821-UNIMAGEM SERVICOS DIAGNOSTICOS LTDA,92233821,TOLEDO,-24.72618,-53.74152,SDO,TDO
SDO-TDO-93456506-SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL,93456506,TOLEDO,-24.72231,-53.7521,SDO,TDO
SDL-CTA-73986771-FUNDO ESTADUAL DE SAUDE DO PARANA FUNSAUDE,73986771,CURITIBA,-25.4274,-49.20929,SDL,CTA
SDL-CTA-78069955-EXXONMOBIL BUSINESS SUPPORT CENTER BRASIL LTDA,78069955,CURITIBA,-25.43491,-49.27645,SDL,CTA
SDT-LNA-44836201-INDUSTRIA E COMERCIO HIDROMAR LTDA,44836201,LONDRINA,-23.29239,-51.13752,SDT,LNA
SDL-SJP-78470170-AUTOPISTA PLANALTO SUL S.A.,78470170,FAZENDA RIO GRANDE,-25.71434,-49.31893,SDL,SJP
SDL-CBN-44275200-PEDRO STRESSER E FILHOS LTDA,44275200,ITAPERUCU,-25.22154,-49.34719,SDL,CBN
SDL-LIT-43570755-ASSOCIACAO MARINA DO SOL,43570755,GUARATUBA,-25.8758,-48.58944,SDL,LIT
SDO-CEL-38822580-EXPRESSO PRINCESA DOS CAMPOS SA,38822580,CASCAVEL,-24.95376,-53.44334,SDO,CEL
SDO-CEL-75443163-COOPAVEL COOPERATIVA AGROINDUSTRIAL,75443163,CASCAVEL,-24.98661,-53.32973,SDO,CEL
SDL-CTA-22503960-FUNDACAO DE ESTUDOS DAS DOENCAS DO FIGADO KOUTOULAS RIBEIRO,22503960,CURITIBA,-25.43485,-49.28026,SDL,CTA
SDL-CTA-47833807-IRMAOS MUFFATO CIA LTDA,47833807,CURITIBA,-25.4784,-49.28839,SDL,CTA
SDL-SJP-19449992-CERVEJARIA PETROPOLIS S A,19449992,ARAUCARIA,-25.55531,-49.37301,SDL,SJP
SDO-FBL-72055030-VALDIR PAINI,72055030,DOIS VIZINHOS,-25.77971,-53.1036,SDO,FBL
SDT-APA-21917400-HOSPITAL NOSSA SENHORA DAS GRACAS,21917400,APUCARANA,-23.55428,-51.46038,SDT,APA
SDN-UMU-70349622-GONCALVES TORTOLA S A,70349622,SAO MANOEL DO PARANA,-23.37663,-52.64659,SDN,UMU
SDN-CMO-32074123-COMPANHIA DE SANEAMENTO DO PARANA SANEPAR,32074123,GOIOERE,-24.20207,-53.02493,SDN,CMO
SDL-CTA-68130422-MINISTERIO DA JUSTICA E SEGURANCA PUBLICA,68130422,CURITIBA,-25.3766,-49.22763,SDL,CTA
SDL-CTA-19450532-PROPEX DO BRASIL LTDA,19450532,CURITIBA,-25.53828,-49.33055,SDL,CTA
SDL-CTA-70409668-CONDOMINIO SHOPPING ESTACAO,70409668,CURITIBA,-25.43892,-49.26696,SDL,CTA
SDL-CTA-81727542-VILA VERDE CENTRO AUTOMOTIVO LTDA,81727542,CURITIBA,-25.41858,-49.2931,SDL,CTA
SDC-UVI-70644128-DIFLADI ESQUADRIAS DE MADEIRA LTDA EPP,70644128,UNIAO DA VITORIA,-26.19711,-51.09391,SDC,UVI
SDL-CBN-70084440-POSTOS PELANDA COMBUSTIVEIS LTDA,70084440,CAMPINA GRANDE DO SUL,-25.10947,-48.81697,SDL,CBN
SDT-CPO-37923480-GERSON SANTO VIDAL,37923480,IBAITI,-23.86953,-50.20115,SDT,CPO
SDN-MGA-61692956-ARIOVALDO COSTA PAULO E CIA LTDA,61692956,MARINGA,-23.42848,-51.97054,SDN,MGA
SDC-UVI-76197999-GOGOLA CONFECCOES EIRELI,76197999,SAO MATEUS DO SUL,-25.87054,-50.38427,SDC,UVI
SDO-CEL-76261000-INSTITUTO DE PESOS E MEDIDAS DO ESTADO DO PARANA,76261000,CASCAVEL,-24.99421,-53.30901,SDO,CEL
SDT-APA-74214934-GILBERTO MUNIZ SIMON,74214934,ARIRANHA DO IVAI,-24.3422,-51.48029,SDT,APA
SDT-LNA-76593630-ANGELUS INDUSTRIA DE PRODUTOS ODONTOLOGICOS S A,76593630,LONDRINA,-23.2921,-51.12274,SDT,LNA
SDL-CTA-92165311-SIMMETRIA AMBIENTI LTDA,92165311,CURITIBA,-25.43773,-49.29067,SDL,CTA
SDC-TEL-92032397-CHUEIRI CHUEIRI LTDA EPP,92032397,TELEMACO BORBA,-24.32861,-50.61588,SDC,TEL
SDL-CTA-82537879-HAVAN LOJAS DE DEPARTAMENTOS LTDA,82537879,CURITIBA,-25.43302,-49.31112,SDL,CTA
SDO-FBL-83623256-COMPANHIA DE SANEAMENTO DO PARANA SANEPAR,83623256,FRANCISCO BELTRAO,-26.06899,-53.0472,SDO,FBL
SDL-CTA-92229999-ADINOR ANTONIO LUGARINI,92229999,CURITIBA,-25.38806,-49.35722,SDL,CTA
SDO-TDO-63334780-COAMO AGROINDUSTRIAL COOPERATIVA,63334780,SAO PEDRO DO IGUACU,-24.94363,-53.85071,SDO,TDO
SDO-FOZ-91511640-DISAM DISTRIBUIDORA DE INSUMOS AGRICOLAS SUL AMERICA LTDA,91511640,MISSAL,-25.08419,-54.27018,SDO,FOZ
SDL-CTA-92219667-BOSSINI JUNCOES E COMERCIO DE LAMINAS LTDA ME,92219667,CURITIBA,-25.50212,-49.31995,SDL,CTA
SDL-CTA-96179864-GRAN CHEF 2 COMERCIO DE ALIMENTOS LTDA,96179864,CURITIBA,-25.43003,-49.34342,SDL,CTA
SDN-MGA-19452950-MUNICIPIO DE MARINGA,19452950,MARINGA,-23.33932,-51.91053,SDN,MGA
SDO-FOZ-46460713-CENTRO DE EDUCACAO MONJOLO LTDA,46460713,FOZ DO IGUACU,-25.52121,-54.58119,SDO,FOZ
SDO-PTO-19792190-ARGENTA BONOTTO CIA LTDA,19792190,PALMAS,-26.49287,-52.00688,SDO,PTO
SDO-TDO-81008104-CAIXA ECONOMICA FEDERAL,81008104,MARECHAL CANDIDO RONDON,-24.56306,-54.05951,SDO,TDO
SDL-CTA-78545188-GEIGER IND E COM DE RADIADORES LTDA,78545188,CURITIBA,-25.5091,-49.23041,SDL,CTA
SDT-LNA-77136110-IRMAOS MUFFATO CIA LTDA,77136110,CAMBE,-23.29568,-51.30169,SDT,LNA
SDN-PVI-44478046-COMPANHIA DE SANEAMENTO DO PARANA SANEPAR,44478046,PARANAVAI,-23.11072,-52.45525,SDN,PVI
SDO-FOZ-31425461-ASSOCIACAO FILHAS DE SAO CAMILO,31425461,MATELANDIA,-25.23921,-53.98774,SDO,FOZ
SDN-PVI-85810274-INSTITUTO FEDERAL DO PARANA,85810274,PARANAVAI,-23.05435,-52.45472,SDN,PVI
SDT-LNA-93215266-IRMAOS MUFFATO CIA LTDA,93215266,CAMBE,-23.27727,-51.26925,SDT,LNA
SDO-PTO-92139450-AVICOLA PATO BRANCO LTDA,92139450,PATO BRANCO,-26.26275,-52.70506,SDO,PTO
SDT-LNA-82364273-EXTRASUL EXTRATOS ANIMAIS E VEGETAIS LTDA,82364273,JAGUAPITA,-23.10616,-51.54344,SDT,LNA
SDN-PVI-67852513-SUPERMERCADOS SENNA - EIRELI,67852513,NOVA ESPERANCA,-23.18037,-52.20435,SDN,PVI
SDL-CBN-27504271-ROMANHA INDUSTRIA DE ALIMENTOS LTDA,27504271,PINHAIS,-25.41958,-49.18418,SDL,CBN
SDT-APA-26080745-ALINEPLAST INDUSTRIA E COMERCIO DE PLASTICOS LTDA,26080745,APUCARANA,-23.56538,-51.51851,SDT,APA
SDL-CTA-91134960-IT SISTEMAS CONSTRUTIVOS S A,91134960,CURITIBA,-25.52802,-49.32972,SDL,CTA
SDN-CMO-37586572-AGRICOLA SANTA HELENA LTDA,37586572,CAMPINA DA LAGOA,-24.58487,-52.8046,SDN,CMO
SDO-PTO-72856718-COASUL COOPERATIVA AGROINDUSTRIAL,72856718,BOM SUCESSO DO SUL,-26.0731,-52.83573,SDO,PTO
SDL-CTA-7383550-CLUBE CURITIBANO,7383550,CURITIBA,-25.45114,-49.28638,SDL,CTA
SDN-CMO-19452241-COAMO AGROINDUSTRIAL COOPERATIVA,19452241,FENIX,-23.927,-51.98744,SDN,CMO
SDC-IRT-70145938-CICERO ROGERIO KUNTZ,70145938,SANTA MARIA DO OESTE,-24.93025,-51.87653,SDC,IRT
SDO-CEL-40648214-MINISTERIO DA FAZENDA,40648214,CASCAVEL,-24.95676,-53.46228,SDO,CEL
SDN-CMO-55193951-I RIEDI E CIA LTDA,55193951,ENGENHEIRO BELTRAO,-23.81302,-52.27389,SDN,CMO
SDL-CTA-76939308-OI S.A. - EM RECUPERACAO JUDICIAL,76939308,CURITIBA,-25.4956,-49.26704,SDL,CTA
SDL-CTA-103232451-SIND TRABS INDS METAL MEC MAT ELET DA GRANDE CURITIBA,103232451,CURITIBA,-25.45352,-49.2944,SDL,CTA
SDC-PGO-19453620-SENGES PAPEL E CELULOSE LTDA,19453620,SENGES,-24.11805,-49.46657,SDC,PGO
SDO-FOZ-49036378-MUNICIPIO DE ITAIPULANDIA,49036378,ITAIPULANDIA,-25.13656,-54.30086,SDO,FOZ
SDL-CTA-78735637-TRIBUNAL REGIONAL ELEITORAL DO PARANA,78735637,CURITIBA,-25.45625,-49.25555,SDL,CTA
SDL-CTA-82881596-AGRICER DISTRIBUIDORA E COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA,82881596,CURITIBA,-25.50993,-49.22146,SDL,CTA
SDT-LNA-36348651-ASSOCIACAO BRASIL SGI,36348651,LONDRINA,-23.31413,-51.15629,SDT,LNA
SDT-LNA-69956960-S.B.C. COMERCIAL LTDA.,69956960,ROLANDIA,-23.31736,-51.37501,SDT,LNA
SDL-SJP-81606966-MUNICIPIO DE ARAUCARIA,81606966,ARAUCARIA,-25.59421,-49.40488,SDL,SJP
