MES,ANO,REGIONAL,NOM_MUN_RLF,AREA,AREA_WF,UC,TENSAO_ES,TENSAO_FAT,TIPO_SS,SUB_TIPO_SS,TIPO_OS,SUB_TIPO_OS,DESCRICAO_OS,NUM_SS,NOM_USU_SITU_COS,COD_SITU_COS,DATA_CMPT_ORIG_OS,DATA_SITU_COS,DATA_CONCL_SERV_OS,DATA_LIM_OS,COD_MOTI_REJ_RRO,ETAPA,DES_OBS_ATDE_CMI,DES_OBS_EXEC_SERV_CMI,NOM_USU_INC_COS,DATA_PROGM_COS,NOM_USU_PROGM_COS
2,24,LES,PINHAIS,11213,MEDICAO LESTE,6769594,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810599841,UE_SODR1,CO,05/02/2024,08/02/2024 15:36:08,08/02/2024 15:35:00,08-FEB-24,,69.0,Realizar Leitura Grupo A., RESLIZADO LEITURA,C048254,05/02/2024 11:08:00,C048254
2,24,NRT,SANTA AMELIA,115023,AGENCIA SANTO ANTONIO DA PLATINA,19453426,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810599865,UE_SODR0,CO,05/02/2024,08/02/2024 09:35:02,08/02/2024 09:32:00,08-FEB-24,,77.0,Realizar Leitura Grupo A., ,C048254,05/02/2024 11:08:00,C048254
2,24,LES,PINHAIS,11213,MEDICAO LESTE,31151876,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810599905,UE_SODR3,CO,05/02/2024,08/02/2024 14:50:05,08/02/2024 14:48:00,08-FEB-24,,47.0,Realizar Leitura Grupo A., REALIDA LEITURA,C048254,05/02/2024 11:08:00,C048254
2,24,LES,CURITIBA,11213,MEDICAO LESTE,33625930,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810599914,UE_SODR3,CO,05/02/2024,08/02/2024 16:23:04,08/02/2024 16:22:00,08-FEB-24,,72.0,Realizar Leitura Grupo A., ,C048254,05/02/2024 11:08:00,C048254
2,24,LES,PINHAIS,11213,MEDICAO LESTE,44848544,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810599965,UE_SODR2,CO,05/02/2024,08/02/2024 16:30:03,08/02/2024 15:58:00,08-FEB-24,,69.0,Realizar Leitura Grupo A., REALIZADO LEIXURA,C048254,05/02/2024 11:08:00,C048254
2,24,NRT,SANTO ANTONIO DO PARAISO,115021,AGENCIA CORNELIO PROCOPIO,100582893,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245792755408,UE_SODR1,CO,01/02/2024,08/02/2024 12:22:04,08/02/2024 12:13:00,06-FEB-24,,66.0,recuperar leitura grupo a, ,C801046,01/02/2024 15:53:00,C801046
2,24,NRT,CONGONHINHAS,115021,AGENCIA CORNELIO PROCOPIO,106517570,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245792755426,UE_SODR0,CO,01/02/2024,08/02/2024 12:22:05,08/02/2024 11:19:00,06-FEB-24,,86.0,recuperar leitura grupo a, ,C801046,01/02/2024 15:53:00,C801046
2,24,NRT,IBIPORA,115036,AGENCIA LONDRINA,107083744,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245792755428,UE_SODR1,CO,01/02/2024,08/02/2024 09:36:03,08/02/2024 09:35:00,06-FEB-24,,86.0,recuperar leitura grupo a, ,C801046,01/02/2024 15:53:00,C801046
2,24,OES,ITAPEJARA DOESTE,114011,AGENCIA PATO BRANCO,84143630,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245818847248,UE_SODR2,CO,06/02/2024,08/02/2024 10:48:09,08/02/2024 10:44:00,09-FEB-24,,67.0,"FALTA LEITURA DOS CANAIS 4,5,6. REALIZAR LEITURA GRUPO A", ,C048254,06/02/2024 11:22:45,C048254
2,24,NRT,IVAIPORA,115013,AGENCIA IVAIPORA,105849944,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245788925320,UE_SODR3,CO,01/02/2024,07/02/2024 10:22:04,07/02/2024 10:15:00,06-FEB-24,,70.0,Realizar Leitura Grupo A. Unidade sem TM. Caso encontre TM no local solicitar teste de comunicacao e cadastro no Hemera para o COM., REALIZADO LEITURA,C048254,01/02/2024 00:30:00,C048254
2,24,LES,MANDIRITUBA,11213,MEDICAO LESTE,106651471,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245788923160,UE_SODR2,CO,01/02/2024,07/02/2024 11:45:03,07/02/2024 11:10:00,06-FEB-24,,72.0,Realizar Leitura Grupo A. Unidade sem TM. Caso encontre TM no local solicitar teste de comunicacao e cadastro no Hemera para o COM., REALIZADO LEITURA,C048254,01/02/2024 00:30:00,C048254
2,24,OES,TUPASSI,114051,AGENCIA TOLEDO,105399051,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245788925426,UE_SODR2,CO,01/02/2024,07/02/2024 10:18:02,07/02/2024 09:32:00,06-FEB-24,,67.0,Realizar Leitura Grupo A. Unidade sem TM. Caso encontre TM no local solicitar teste de comunicacao e cadastro no Hemera para o COM., OK LEITURA FEITA,C048254,01/02/2024 00:30:00,C048254
2,24,LES,CURITIBA,11213,MEDICAO LESTE,99948532,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245788923082,UE_SODR3,CO,01/02/2024,07/02/2024 15:41:03,07/02/2024 15:40:00,06-FEB-24,,72.0,Realizar Leitura Grupo A. Unidade sem TM. Caso encontre TM no local solicitar teste de comunicacao e cadastro no Hemera para o COM., LEITURA EXECUTADA,C048254,01/02/2024 00:30:00,C048254
2,24,OES,CASCAVEL,114021,AGENCIA CASCAVEL,100087930,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245788925526,UE_SODR1,CO,01/02/2024,07/02/2024 14:27:06,01/02/2024 00:31:00,06-FEB-24,,1.0,Realizar Leitura Grupo A. Unidade sem TM. Caso encontre TM no local solicitar teste de comunicacao e cadastro no Hemera para o COM.,"TRATA-SE DE EVENTO TEMPORARIO, ONDE O  FATURAMENTO SERA FEITO POR INTEGRALIZACAO NO FINAL DO EVENTO.",C048254,01/02/2024 00:30:00,C048254
2,24,LES,CURITIBA,11213,MEDICAO LESTE,92771483,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810600173,UE_SODR2,RJ,07/02/2024,07/02/2024 08:43:02,,,M2,71.0,,,UE_SODR2,,UE_SODR2
2,24,OES,PALOTINA,114053,AGENCIA MARECHAL CANDIDO RONDON,106258184,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810615323,UE_SODR0,RJ,07/02/2024,07/02/2024 12:08:03,,,M2,41.0,,,UE_SODR0,,UE_SODR0
2,24,NRT,LONDRINA,115036,AGENCIA LONDRINA,107861585,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810787732,UE_SODR1,CO,05/02/2024,07/02/2024 10:17:06,07/02/2024 09:26:00,08-FEB-24,,62.0,CLIENTE EM CORTE SEM LEITURA NA DATA DO CORTE. ENERGIZAR O MEDIDOR E COLETAR A LEITURA., LEITURA OK,C048254,05/02/2024 11:42:04,C048254
2,24,NRT,FLORESTOPOLIS,115031,AGENCIA CAMBE,49715984,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810599995,UE_SODR3,RJ,07/02/2024,07/02/2024 14:08:03,,,K6,68.0,,,UE_SODR3,,UE_SODR3
2,24,OES,ASSIS CHATEAUBRIAND,114051,AGENCIA TOLEDO,65007140,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810600037,UE_SODR3,RJ,07/02/2024,07/02/2024 16:09:03,,,M7,74.0,,,UE_SODR3,,UE_SODR3
2,24,OES,FOZ DO IGUACU,114031,AGENCIA FOZ DO IGUACU,76959961,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810600099,UE_SODR4,RJ,07/02/2024,07/02/2024 09:53:03,,,M1,70.0,,,UE_SODR4,,UE_SODR4
2,24,NRO,RONCADOR,113013,AGENCIA UBIRATA,45745668,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810599981,UE_SODR0,RJ,07/02/2024,07/02/2024 18:24:02,,,N2,77.0,,,UE_SODR0,,UE_SODR0
2,24,LES,FAZENDA RIO GRANDE,11213,MEDICAO LESTE,93882424,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810600192,UE_SODR0,RJ,07/02/2024,07/02/2024 12:36:03,,,M2,75.0,,,UE_SODR0,,UE_SODR0
2,24,CSL,PONTA GROSSA,11113,MEDICAO CENTRO-SUL,66367727,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810600043,UE_SODR0,RJ,07/02/2024,07/02/2024 11:07:17,,,MB,70.0,,,UE_SODR0,,UE_SODR0
2,24,NRT,IVAIPORA,115013,AGENCIA IVAIPORA,111092167,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810615441,UE_SODR3,CO,07/02/2024,07/02/2024 13:36:02,07/02/2024 13:34:00,12-FEB-24,M2,50.0,,,UE_SODR0,07/02/2024 11:13:53,C051443
2,24,LES,CURITIBA,11213,MEDICAO LESTE,109619617,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810615402,UE_SODR4,RJ,07/02/2024,07/02/2024 16:58:03,,,M2,72.0,,,UE_SODR4,,UE_SODR4
2,24,LES,CURITIBA,11213,MEDICAO LESTE,76073599,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810600095,UE_SODR0,RJ,07/02/2024,07/02/2024 13:17:04,,,M2,75.0,,,UE_SODR0,,UE_SODR0
2,24,OES,ASSIS CHATEAUBRIAND,114051,AGENCIA TOLEDO,56579870,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810600013,UE_SODR1,CO,05/02/2024,07/02/2024 16:29:03,07/02/2024 16:28:00,08-FEB-24,,74.0,Realizar Leitura Grupo A., OK LEITURA FEITA,C048254,05/02/2024 11:08:00,C048254
2,24,LES,QUITANDINHA,11213,MEDICAO LESTE,56929943,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810600015,UE_SODR3,CO,05/02/2024,07/02/2024 11:45:04,07/02/2024 10:25:00,08-FEB-24,,72.0,Realizar Leitura Grupo A., REALIZADO LEITURA,C048254,05/02/2024 11:08:00,C048254
2,24,LES,COLOMBO,11213,MEDICAO LESTE,63748428,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810600035,UE_SODR1,CO,05/02/2024,07/02/2024 14:33:02,07/02/2024 14:32:00,08-FEB-24,,73.0,Realizar Leitura Grupo A., ,C048254,05/02/2024 11:08:00,C048254
2,24,OES,ASSIS CHATEAUBRIAND,114051,AGENCIA TOLEDO,65007140,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810600037,UE_SODR3,CO,05/02/2024,07/02/2024 16:09:03,07/02/2024 15:54:00,08-FEB-24,,74.0,Realizar Leitura Grupo A.,,C048254,05/02/2024 11:08:00,C048254
2,24,CSL,PONTA GROSSA,11113,MEDICAO CENTRO-SUL,66367727,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810600043,UE_SODR0,CO,05/02/2024,07/02/2024 11:07:17,07/02/2024 10:09:00,08-FEB-24,,70.0,Realizar Leitura Grupo A.,,C048254,05/02/2024 11:08:00,C048254
2,24,CSL,PALMEIRA,11113,MEDICAO CENTRO-SUL,66939852,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810600049,UE_SODR1,CO,05/02/2024,07/02/2024 11:32:12,07/02/2024 11:29:00,08-FEB-24,,76.0,Realizar Leitura Grupo A., LEITURA OK,C048254,05/02/2024 11:08:00,C048254
2,24,LES,CURITIBA,11213,MEDICAO LESTE,67038670,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810600051,UE_SODR0,CO,05/02/2024,07/02/2024 09:21:03,07/02/2024 09:20:00,08-FEB-24,,65.0,Realizar Leitura Grupo A., ,C048254,05/02/2024 11:08:00,C048254
2,24,LES,CURITIBA,11213,MEDICAO LESTE,68894732,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810600057,UE_SODR4,CO,05/02/2024,07/02/2024 14:16:05,07/02/2024 14:14:00,08-FEB-24,,73.0,Realizar Leitura Grupo A., FEITO A LEITURA DO CLIENTE CATIVO,C048254,05/02/2024 11:08:00,C048254
2,24,LES,CURITIBA,11213,MEDICAO LESTE,70233985,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810600071,UE_SODR3,CO,05/02/2024,07/02/2024 11:43:04,07/02/2024 11:42:00,08-FEB-24,,73.0,Realizar Leitura Grupo A., FEITO LEITURA,C048254,05/02/2024 11:08:00,C048254
2,24,CSL,PONTA GROSSA,11113,MEDICAO CENTRO-SUL,4333411,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810599833,UE_SODR1,CO,05/02/2024,07/02/2024 11:07:13,07/02/2024 09:36:00,08-FEB-24,,62.0,Realizar Leitura Grupo A., LEITURA OK.,C048254,05/02/2024 11:08:00,C048254
2,24,NRT,LONDRINA,115036,AGENCIA LONDRINA,5331234,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810599837,UE_SODR3,CO,05/02/2024,07/02/2024 15:05:04,07/02/2024 15:02:00,08-FEB-24,,73.0,Realizar Leitura Grupo A., - RECUPERADO LEITURA,C048254,05/02/2024 11:08:00,C048254
2,24,NRT,LONDRINA,115036,AGENCIA LONDRINA,14066017,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810599853,UE_SODR1,CO,05/02/2024,07/02/2024 09:22:05,07/02/2024 09:20:00,08-FEB-24,,61.0,Realizar Leitura Grupo A., - RECUPERADO LEITURA,C048254,05/02/2024 11:08:00,C048254
2,24,NRO,MOREIRA SALES,113021,AGENCIA UMUARAMA,16500334,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810599855,UE_SODR3,CO,05/02/2024,07/02/2024 12:20:03,07/02/2024 12:19:00,08-FEB-24,,70.0,Realizar Leitura Grupo A.," REC DE LEITURAS COM TM, EFETUADO TESTE TM OK.",C048254,05/02/2024 11:08:00,C048254
2,24,NRO,PARAISO DO NORTE,113041,AGENCIA PARANAVAI,16699696,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810599859,UE_SODR1,CO,05/02/2024,07/02/2024 16:20:04,07/02/2024 15:33:00,08-FEB-24,,75.0,Realizar Leitura Grupo A., PRE MIGRACAO LEVANTAR AS CAIXAS DE MEDICAO PARA EVITAR PENETRACAO DE AGUA E BARRO. INST NIPLE DE 2POL CX TC MED. SUBST TABUA DE FIXACAO DOS TCS E MEDIDOR. ROCAR MATO E REGULARIZAR PISO.,C048254,05/02/2024 11:08:00,C048254
2,24,NRO,RONDON,113023,AGENCIA CIANORTE,17069114,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810599861,UE_SODR2,CO,05/02/2024,07/02/2024 10:34:02,07/02/2024 10:31:00,08-FEB-24,,66.0,Realizar Leitura Grupo A., LEIT ENVIADA,C048254,05/02/2024 11:08:00,C048254
2,24,NRO,RONDON,113023,AGENCIA CIANORTE,17073057,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810599863,UE_SODR0,CO,05/02/2024,07/02/2024 09:28:02,07/02/2024 09:25:00,08-FEB-24,,66.0,Realizar Leitura Grupo A., LEITURA ENVIADA.,C048254,05/02/2024 11:08:00,C048254
2,24,LES,CURITIBA,11213,MEDICAO LESTE,1941291,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810599829,UE_SODR0,CO,05/02/2024,07/02/2024 15:01:05,07/02/2024 14:59:00,08-FEB-24,,52.0,Realizar Leitura Grupo A., RECUPERADO,C048254,05/02/2024 11:08:00,C048254
2,24,NRT,LONDRINA,115036,AGENCIA LONDRINA,26176343,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810599889,UE_SODR0,CO,05/02/2024,07/02/2024 13:50:04,07/02/2024 13:34:00,08-FEB-24,,64.0,Realizar Leitura Grupo A., RECUPERADO LEITURA,C048254,05/02/2024 11:08:00,C048254
2,24,OES,TOLEDO,114051,AGENCIA TOLEDO,29367506,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810599893,UE_SODR3,CO,05/02/2024,07/02/2024 15:21:01,07/02/2024 15:15:00,08-FEB-24,,75.0,Realizar Leitura Grupo A., LOK,C048254,05/02/2024 11:08:00,C048254
2,24,NRT,LONDRINA,115036,AGENCIA LONDRINA,29891965,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810599901,UE_SODR0,CO,05/02/2024,07/02/2024 11:40:05,07/02/2024 11:09:00,08-FEB-24,,62.0,Realizar Leitura Grupo A., - RECUPERADO LEITURA.,C048254,05/02/2024 11:08:00,C048254
2,24,OES,TOLEDO,114051,AGENCIA TOLEDO,31644520,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810599907,UE_SODR0,CO,05/02/2024,07/02/2024 16:56:03,07/02/2024 16:53:00,08-FEB-24,,67.0,Realizar Leitura Grupo A., ,C048254,05/02/2024 11:08:00,C048254
2,24,CSL,PONTA GROSSA,11113,MEDICAO CENTRO-SUL,37749170,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810599931,UE_SODR1,CO,05/02/2024,07/02/2024 13:45:03,07/02/2024 13:44:00,08-FEB-24,,62.0,Realizar Leitura Grupo A., LEITURA OK,C048254,05/02/2024 11:08:00,C048254
2,24,NRT,LONDRINA,115036,AGENCIA LONDRINA,39672131,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810599935,UE_SODR2,CO,05/02/2024,07/02/2024 10:17:08,07/02/2024 10:14:00,08-FEB-24,,74.0,Realizar Leitura Grupo A., FOI FEITA A LEITURA,C048254,05/02/2024 11:08:00,C048254
2,24,NRT,IBAITI,115025,AGENCIA IBAITI,40184072,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810599943,UE_SODR0,CO,05/02/2024,07/02/2024 11:58:02,07/02/2024 11:52:00,08-FEB-24,,71.0,Realizar Leitura Grupo A., ,C048254,05/02/2024 11:08:00,C048254
2,24,NRO,UBIRATA,113013,AGENCIA UBIRATA,42823420,A,A,SG,MSC,MS,733,SCO - LEITURA CLIENTES GRUPO A - CATIVO,20245810599951,UE_SODR1,CO,05/02/2024,07/02/2024 12:00:03,07/02/2024 10:45:00,08-FEB-24,,75.0,Realizar Leitura Grupo A., LEITURA REALIZADA,C048254,05/02/2024 11:08:00,C048254
