COD_UN_CONS_UEE,COD_CLAS_CONS_UEE,NOM_COMP_CLI,COD_GRU_TENS_ORIG_UEE,COD_GRU_TENS_FAT_UEE,COD_SITU_UEE,SIG_REGI_RLF,NOM_MUN_RLF,ETAPA,QTD_TENS_LIG_UEE,QTD_TENS_SEC_UEE,DTA_SITU_UEE,COD_TIPO_EQIP_REU,NUM_EQIP_REU,DTA_INS_REU,ENDERECO,NUMERO
111874289,155,MADEZAN MADEIREIRA ZANCANARO LTDA,A,A,LG,OES,CASCAVEL,70,34500,,16/01/24,RG,40623396,16/01/24,ROD BR 277,1
111868599,179,KAMARO ARTES GRAFICAS LTDA,A,A,LG,LES,CURITIBA,86,13800,,10/10/23,RG,40681937,13/10/23,R FRANCISCO SOBANIA,1021
111855209,4468,COMP INDUSTRIA E COMERCIO DE METAIS LTDA,A,A,LG,LES,PINHAIS,66,13800,,31/01/24,RG,35600085,31/01/24,R STA HELENA,762
111844720,8056,REAL AGROINDUSTRIAL LTDA,A,A,LG,OES,PATO BRANCO,65,13800,,17/01/24,RG,40621557,17/01/24,ETD PION IRINEU BERTANI,1
111839696,424,CONSORCIO DE GERACAO DISTRIBUIDA PLIN ENERGIA,A,A,LG,NRO,PARANAVAI,41,34500,,22/12/23,RG,41683112,22/12/23,ROD PR 561,0
111839599,424,CONSORCIO DE GERACAO DISTRIBUIDA PLIN ENERGIA,A,A,LG,NRO,PARANAVAI,41,34500,,22/12/23,RG,40621780,22/12/23,ROD PR 561,0
111839548,424,CONSORCIO DE GERACAO DISTRIBUIDA PLIN ENERGIA,A,A,LG,NRO,PARANAVAI,41,34500,,22/12/23,RG,35602474,22/12/23,ROD PR 561,0
111839505,424,CONSORCIO DE GERACAO DISTRIBUIDA PLIN ENERGIA,A,A,LG,NRO,PARANAVAI,41,34500,,22/12/23,RG,40621359,22/12/23,ROD PR 561,0
111833876,4913,TEDESCO PISCICULTURA LTDA,A,A,LG,OES,SAO JORGE DOESTE,65,13800,,16/01/24,RG,44628661,16/01/24,R VINTE E OITO,11
111832950,4642,BATISTA IZEPE LTDA,A,A,LG,NRO,SARANDI,86,13800,,03/11/23,RG,40682500,03/11/23,AV PNO JOSE LAURINDO DA SILVA,156
111830893,8051,ECHO ORGANICA LTDA,A,A,LG,NRO,MANDAGUACU,62,34500,,21/12/23,RG,40623245,21/12/23,EST JUSSARA,0
111821819,4654,MBT COMERCIO E FABRICACAO DE FUMOS LTDA,A,A,LG,NRT,IBIPORA,68,13800,,03/01/24,RG,40623126,03/01/24,R ALBERTO NEGRO,1400
111819172,4642,ITALO SUPERMERCADOS LTDA,A,A,LG,OES,MARMELEIRO,79,13800,,10/11/23,RG,35600010,10/11/23,R PE AFONSO,51
111815355,180,IBBS ROTULOS E EMBALAGENS LTDA,A,A,LG,LES,CURITIBA,73,13800,,29/01/24,RG,40622808,29/01/24,R ARY CLAUDINO ZIEMER,395
111813379,155,LM MADEIRAS,A,A,LG,LES,ITAPERUCU,57,13800,,08/12/23,RG,35602400,08/12/23,R D PEDRO I,1
111803888,424,I R DA SILVA CIA LTDA,A,A,LG,OES,MERCEDES,86,13800,,08/02/24,RG,44628635,08/02/24,LIN SANGA MINEIRA DE BAIXO,1
111799341,4171,MALUCELLI TOZETTO EMPREENDIMENTOS IMOBILIARIOS LTDA,A,A,LG,CSL,CASTRO,65,13800,,04/09/23,RG,40682861,04/09/23,R CONS JESUINO MARCONDES,850
111785812,155,MOGNO INDUSTRIA E COMERCIO DE MADEIRAS LTDA,A,A,LG,CSL,JAGUARIAIVA,67,13800,,30/01/24,RG,40620069,30/01/24,R NOREDIM CARNEIRO,202
111781256,4625,GEN INDUSTRIA E COMERCIO DE FERTILIZANTES LTDA,A,A,LG,LES,PARANAGUA,72,13800,,09/01/24,RG,40621107,09/01/24,AV AYRTON SENNA DA SILVA,1666
111779030,8001,GISELA ADRIANA SIQUEIRA DE QUADROS XAVIER,A,A,LG,NRO,LOANDA,68,13800,,08/12/23,RG,40682511,08/12/23,EST VELHA LDA NLO,0
111765790,424,LEIA PEREIRA DE OLIVEIRA WOJCIK,A,A,LG,LES,AGUDOS DO SUL,41,13800,,07/12/23,RG,40624781,07/12/23,R JOAO TABORDA DA ROCHA,821
111751870,7202,MUNICIPIO DE ORTIGUEIRA,A,A,LG,CSL,ORTIGUEIRA,71,13800,,16/10/23,RG,40620888,16/10/23,R EGITO,295
111743052,5800,MITRA DIOCESANA DE TOLEDO,A,A,LG,OES,PALOTINA,44,13800,,20/07/23,RG,35602990,20/07/23,RM SALETE,
111721830,424,HOTEL SAN RAFAEL LTDA,A,A,LG,OES,FOZ DO IGUACU,49,13800,,23/01/24,RG,44628634,23/01/24,AV MARIA BUBIAK,1
111720974,4147,UNEGRAOS LTDA,A,A,LG,LES,LAPA,58,13800,,18/01/24,RG,35601547,18/01/24,ROD DO XISTO,0
111715946,122,CIANORTE TEXTIL LTDA,A,A,LG,NRO,CIANORTE,77,13800,,05/10/23,RG,40620478,05/10/23,R CARLOS ROBERTO ALVES,39
111708427,4603,TRATORNEW SA,A,A,LG,CSL,PONTA GROSSA,73,34500,,01/12/23,RG,40625344,01/12/23,R HANS MOL,22
111690668,233,WN2 SOLUCOES EM PLASTICOS LTDA,A,A,LG,LES,COLOMBO,73,13800,,15/12/23,RG,40623417,15/12/23,R ALCIDE NILTON MOTIN,1049
111687381,8052,MARLON ROSSI,A,A,LG,OES,NOVA PRATA DO IGUACU,47,34500,,05/07/23,RG,40621186,05/07/23,LIN CANGUCU,
111681073,4668,CASSOL MATERIAIS DE CONSTRUCAO LTDA,A,A,LG,LES,COLOMBO,86,13800,,22/11/23,RG,41683041,22/11/23,AV MARGINAL JOSE DE ANCHIETA,996
111678900,393,ELV FABRICACAO E COMERCIO DE MOVEIS LTDA,A,A,LG,CSL,PONTA GROSSA,73,13800,,08/12/23,RG,40625123,08/12/23,R BR VON HOLLEBEN,701
111677009,4244,JOAO WILSON DOS SANTOS JUNIOR,A,A,LG,NRT,LONDRINA,41,13800,,30/06/23,RG,40620264,30/06/23,R ADULCINO JOSE JORDAO,125
111674328,8056,REAL AGROINDUSTRIAL LTDA,A,A,LG,OES,PATO BRANCO,65,13800,,19/10/23,RG,40622085,19/10/23,LIN INDEPENDENCIA,1
111673569,5416,EXPLOD PARTICIPACOES E ADMINISTRACAO DE IMOVEIS LTDA,A,A,LG,CSL,PONTA GROSSA,77,13800,,26/07/23,RG,40625504,26/07/23,R SEBASTIAO NASCIMENTO,380
111671833,8001,ANDREY PHILLIPE DIJKINGA,A,A,LG,CSL,CARAMBEI,70,34500,,20/11/23,RG,40624829,20/11/23,POV CATANDUVAS DE FORA,0
111667496,429,MERACY IVONE GROSS,A,A,LG,OES,CEU AZUL,65,13800,,07/02/24,RG,44628331,07/02/24,R CUIABA,6
111663377,392,INOVATTA INDUSTRIA DE MOVEIS LTDA,A,A,LG,OES,FRANCISCO BELTRAO,77,13800,,23/11/23,RG,40622593,23/11/23,R LUIGI BEDIN,215
111660025,4672,COMERCIAL ARAUJO LTDA,A,A,LG,NRT,ARAPONGAS,74,13800,,19/10/23,RG,40622275,19/10/23,R AGUIAS,2209
111659680,449,MADEIREIRA CASTRO RIBAS LTDA,A,A,LG,LES,ALMIRANTE TAMANDARE,76,13800,,05/01/24,RG,35600764,05/01/24,R ANTONIO MILINOFRE,396
111659604,4101,PARANAPART ADMINISTRACAO DE BENS LTDA,A,A,LG,NRO,MARINGA,77,13800,,15/12/23,RG,36680009,15/12/23,AV GOV BENTO MUNHOZ DA ROCHA NETO,1282
111655200,424,COOPERATIVA BRASILEIRA DE GERACAO DISTRIBUIDA,A,A,LG,OES,ENEAS MARQUES,41,13800,,29/06/23,RG,40625374,29/06/23,LIN BELA UNIAO,0
111653665,302,REMID INDUSTRIA E COMERCIO DE MAQUINAS INDUSTRIAIS LTDA,A,A,LG,OES,NOVA SANTA ROSA,50,13800,,18/08/23,RG,40620215,18/08/23,AV SANTO CRISTO,1466
111652006,255,CAL NUMERO UM LTDA,A,A,LG,CSL,CASTRO,71,34500,,14/11/23,RG,40621559,14/11/23,ROD PR 090,0
111649234,424,COOPERATIVA DE CREDITO SICOOB CONFIANCA,A,A,LG,NRO,SANTA CRUZ DE MONTE CASTELO,41,34500,,04/10/23,RG,40625393,04/10/23,EST ASSENTAMENTO PARANA,1
111649072,424,COOPERATIVA DE CREDITO SICOOB ALIANCA,A,A,LG,NRO,SANTA CRUZ DE MONTE CASTELO,41,34500,,04/10/23,RG,40625396,04/10/23,EST ASSENTAMENTO PARANA,1
111649048,424,ADAF ENGENHARIA LTDA,A,A,LG,NRT,IBIPORA,47,13800,,01/12/23,RG,35600908,01/12/23,EST ENGENHO DE PAU,1
111649005,424,CENTRAL DAS COOPERATIVAS DE CREDITO UNICOOB,A,A,LG,NRO,SANTA CRUZ DE MONTE CASTELO,46,34500,,03/10/23,RG,40622366,03/10/23,EST ASSENTAMENTO PARANA,
111648939,424,COOP CREDITO DA REGIAO MERIDIONAL BRASIL SICOOB UNICOOB MERIDIONAL,A,A,LG,NRO,SANTA CRUZ DE MONTE CASTELO,41,34500,,03/10/23,RG,40622297,03/10/23,EST ASSENTAMENTO PARANA,0
111648890,424,COOPERATIVA DE CREDITO SUL SICOOB SUL,A,A,LG,NRO,SANTA CRUZ DE MONTE CASTELO,41,34500,,03/10/23,RG,40622294,03/10/23,EST ASSENTAMENTO PARANA,1
111648815,424,COOP CREDITO LIVRE ADMISSAO TRES FRONTEIRAS SICOOB TRES FRONTEIRAS,A,A,LG,NRO,SANTA CRUZ DE MONTE CASTELO,41,34500,,02/10/23,RG,35600751,02/10/23,EST ASSENTAMENTO PARANA,1
111648653,424,COOPERATIVA DE CREDITO SICOOB OURO VERDE,A,A,LG,NRO,SANTA CRUZ DE MONTE CASTELO,41,34500,,02/10/23,RG,35601587,02/10/23,EST ASSENTAMENTO PARANA,
111648130,4668,CASSOL MATERIAIS DE CONSTRUCAO LTDA,A,A,LG,LES,SAO JOSE DOS PINHAIS,86,13800,,06/11/23,RG,40682302,06/11/23,R 15 DE NOVEMBRO,3000
111646901,465,COCAMAR COOPERATIVA AGROINDUSTRIAL,A,A,LG,NRO,PARANAVAI,76,13800,,18/09/23,RG,40623399,18/09/23,R FREI BOAVENTURA EINBERGER,1
111641608,8056,RUI SCHIMMEL,A,A,LG,OES,TOLEDO,65,13800,,22/06/23,RG,40622342,22/06/23,LIN ACARAY,4
111639379,424,SANTOS E MATA LTDA,A,A,LG,NRO,ARARUNA,45,13800,,29/06/23,RG,40622350,29/06/23,AV CURITIBA,21
111638577,8052,RUI SCHIMMEL,A,A,LG,OES,TOLEDO,75,13800,,22/06/23,RG,40622242,22/06/23,LIN ACARAY,22
111633842,87,CANADENSE INDUSTRIA DE ALIMENTOS LTDA,A,A,LG,OES,FOZ DO IGUACU,41,13800,,14/12/23,RG,40623053,14/12/23,AV PERIMETRAL LESTE,7533
111627966,4618,FOZ FERRO INDUSTRIA E COMERCIO DE FERRO E ACO LTDA,A,A,LG,OES,FOZ DO IGUACU,73,13800,,25/10/23,RG,35601494,25/10/23,AV PERIMETRAL LESTE,7981
111626803,424,COOPERATIVA DE CREDITO SICOOB METROPOLITANO,A,A,LG,NRO,SANTA CRUZ DE MONTE CASTELO,46,34500,,02/10/23,RG,40625395,02/10/23,EST ASSENTAMENTO PARANA,1
111626528,7202,MUNICIPIO DE SAO JOAO DO TRIUNFO,A,A,LG,CSL,SAO JOAO DO TRIUNFO,41,13800,,11/08/23,RG,40625117,11/08/23,ROD JOAO DISTEFANO,1
111613728,231,FLEXOPAZ INDUSTRIA DE EMBALAGENS PLASTICAS LTDA,A,A,LG,NRO,TERRA BOA,73,13800,,24/08/23,RG,40620289,24/08/23,AV DOS TRABALHADORES,446
111611733,55,EMBUTIDOS DEFUMADOS PIZZATTO LTDA,A,A,LG,CSL,UNIAO DA VITORIA,68,34500,,26/12/23,RG,40623011,26/12/23,COL RIO DO MEIO,1
111611342,424,COOPERATIVA DE INFRAESTRUTURA E ELETRIFICACAO RURAL DE PALOTINA,A,A,LG,OES,NOVA SANTA ROSA,41,13800,,25/10/23,RG,35602228,25/10/23,EST MACHADO DE ASSIS,1
111606497,4633,G ALIANCA COMERCIAL LTDA,A,A,LG,OES,SANTA TEREZINHA DE ITAIPU,71,34500,,29/08/23,RG,40625383,29/08/23,R BRAS EMILIANO,516
111602963,4101,VECODIL COMERCIO DE VEICULOS LTDA,A,A,LG,LES,CURITIBA,68,13800,,24/08/23,RG,40625156,24/08/23,R JERONIMO DURSKI,943
111601088,363,REX TOOLS INDUSTRIA E COMERCIO DE INSUMOS INDUSTRIAIS LTDA,A,A,LG,LES,PINHAIS,66,13800,,31/07/23,RG,35600614,31/07/23,R IBAITI,394
111587107,210,COLORPINT INDUSTRIA E COMERCIO DE TINTAS LTDA,A,A,LG,NRT,CAMBARA,73,13800,,12/09/23,RG,40621401,12/09/23,AV ANTONIO AUGUSTO MANO,79
111582660,7228,MUNICIPIO DE TOLEDO,A,A,LG,OES,TOLEDO,62,13800,,12/01/24,RG,35602586,12/01/24,AV MARIPA,7964
111582253,292,BIAZAM PRODUTOS METALURGICOS LTDA,A,A,LG,LES,SAO JOSE DOS PINHAIS,69,13800,,13/09/23,RG,35600121,13/09/23,R TAVARES DE LYRA,4445
111574242,4642,SUPERMERCADO GUGUY LTDA,A,A,LG,NRO,PARANAVAI,76,13800,,13/09/23,RG,40621088,13/09/23,AV DEP HEITOR ALENCAR FURTADO,1632
111572878,239,JETVIDROS COMERCIO DE VIDROS LTDA,A,A,LG,NRT,LONDRINA,64,13800,,09/10/23,RG,40682328,09/10/23,R WALTER PEREIRA,320
111569818,4642,SUPERMERCADO GUGUY LTDA,A,A,LG,NRO,ALTO PARANA,71,13800,,24/11/23,RG,40682544,24/11/23,R CRISTAL,70
111567700,4101,PARANAPART ADMINISTRACAO DE BENS LTDA,A,A,LG,NRT,LONDRINA,66,13800,,11/01/24,RG,44628525,11/01/24,AV TIRADENTES,2611
111554438,280,CCM SOLAR DO BRASIL COMERCIO E INDUSTRIA DE ESQUADRIAS METALICAS LTDA,A,A,LG,LES,COLOMBO,70,13800,,16/08/23,RG,40625285,16/08/23,TR ROD DA UVA,1669
111542693,424,ASSOCIACAO DE GERACAO DISTRIBUIDA PLIN ENERGIA,A,A,LG,NRO,ALTO PARANA,41,34500,,16/01/24,RG,44628945,16/01/24,EST SANTA MARIA,0
111542537,424,ASSOCIACAO DE GERACAO DISTRIBUIDA PLIN ENERGIA,A,A,LG,NRO,ALTO PARANA,41,34500,,16/01/24,RG,44628943,16/01/24,EST SANTA MARIA,0
111534135,7202,MUNICIPIO DE IVAIPORA,A,A,LG,NRT,IVAIPORA,70,13800,,03/11/23,RG,40682368,03/11/23,BRO POLACOS,1
111529638,434,NIPLAN INFRAESTRUTURA S A,A,A,LG,LES,PARANAGUA,67,13800,,29/09/23,RG,40624952,29/09/23,AV CEL SANTA RITA,1724
111523370,8056,GONCALVES TORTOLA S A,A,A,LG,NRO,MIRADOR,66,34500,,10/08/23,RG,40625377,10/08/23,EST MIRADOR PARANAVAI,0
111519268,4611,TECIDOS E ARMARINHOS MIGUEL BARTOLOMEU SA,A,A,LG,NRO,MARINGA,75,13800,,10/08/23,RG,40622317,10/08/23,AV COLOMBO,9322
111516790,8001,NHAZINHA AGRICULTURA LTDA,A,A,LG,CSL,PALMEIRA,65,13800,,21/11/23,RG,40624235,21/11/23,COL LAGO,0
111515416,8252,ONEIDE PISSAIA,A,A,LG,OES,SALTO DO LONTRA,47,34500,,27/06/23,RG,40622284,27/06/23,LIN S SEBASTIAO,1
111514657,4496,PLAENGE IMOVEIS LTDA,A,A,LG,LES,CURITIBA,62,13800,,16/08/23,RG,40623298,16/08/23,R ANTONIO KAMINSKI,701
111511500,8052,CRISTOVAO SASS,A,A,LG,LES,LAPA,74,13800,,22/01/24,RG,40622131,22/01/24,ROD PR 427,0
111508126,5502,INTEGRADA COOPERATIVA AGROINDUSTRIAL,A,A,LG,NRT,LONDRINA,30,13800,,28/12/23,RG,40682343,28/12/23,ROD PR 323,401
111507995,5479,RAIA DROGASIL S A,A,A,LG,NRO,IVATE,41,34500,,26/10/23,RG,35602607,26/10/23,EST SGARAVATTI,2
111506107,6403,LEANDRO FERNANDO LAGO,A,A,LG,OES,PALOTINA,41,13800,,31/05/23,RG,40622346,31/05/23,RM APARECIDA,0
111502187,424,VITRAL SUL ALUMINIOS E FERRAGENS LTDA,A,A,LG,OES,FRANCISCO BELTRAO,41,13800,,09/10/23,RG,35601665,09/10/23,LIN MISSOES,0
111502136,8060,INTEGRADA COOPERATIVA AGROINDUSTRIAL,A,A,LG,NRT,LONDRINA,65,13800,,28/12/23,RG,40623477,28/12/23,ROD PR 323,0
111501148,351,CALLI DO BRASIL INDUSTRIA E COMERCIO DE MAQUINAS LTDA,A,A,LG,NRO,MARINGA,70,13800,,28/08/23,RG,40620042,28/08/23,R PNA PIERINA CARNIEL MAZZER,231
111496683,429,AMBIENTAL BRASIL INDUSTRIA E COMERCIO DE RECICLAVEIS LTDA,A,A,LG,LES,MANDIRITUBA,72,13800,,29/11/23,RG,40625052,29/11/23,EST MUNICIPAL MANOEL MACHADO NETO,680
111495997,4442,CIRCUIPAR CIRCUITOS IMPRESSOS LTDA,A,A,LG,LES,PINHAIS,66,13800,,27/09/23,RG,40625021,27/09/23,R ALTO PARANA,1693
111492041,236,MULT FLEX ROTULOS E EMBALAGENS LTDA,A,A,LG,NRO,MARIALVA,78,13800,,13/10/23,RG,40624442,13/10/23,R DOS TUCANOS,1370
111488338,6401,NORMA LIGIA DE LIMA NOGUEIRA,A,A,LG,NRT,SANTA MARIANA,74,13800,,25/01/24,RG,35601796,25/01/24,FAZ COLORADO,1
111486858,155,CLEIA SCHELIGA RODRIGUES MADEIRAS,A,A,LG,CSL,MALLET,74,13800,,15/01/24,RG,40622041,15/01/24,R ESPERANCA,97
111482348,5417,VITA VILLAGE EMPREENDIMENTOS IMOBILIARIOS LTDA,A,A,LG,OES,FOZ DO IGUACU,75,13800,,04/09/23,RG,40622218,04/09/23,R ELCIO LUIS CAVALCANTE,650
111477840,99,AGROINDUSTRIA QUALITA DO BRASIL LTDA,A,A,LG,CSL,SAO JOAO DO TRIUNFO,67,13800,,28/12/23,RG,40625452,12/01/24,POV PINHALZINHO,1
111477255,424,IVO SCHOELER,A,A,LG,OES,MEDIANEIRA,49,13800,,22/01/24,RG,40625384,28/08/23,AV 24 DE OUTUBRO,3759
111475996,424,ALLMAYER SUPERMERCADO LTDA,A,A,LG,OES,MARECHAL CANDIDO RONDON,48,34500,,27/10/23,RG,35602316,27/10/23,R A VILA RURAL,354
111471206,8052,VALDAIR MANFREDI,A,A,LG,OES,DOIS VIZINHOS,76,34500,,16/01/24,RG,44628673,16/01/24,LIN CASTANHA,0
111467438,4657,POSTO DE COMBUSTIVEIS E SERVICOS QUATRO PRIMOS LTDA,A,A,LG,CSL,PONTA GROSSA,70,13800,,31/01/24,RG,44628421,02/02/24,AV VISC DE MAUA,4800
111466644,424,IZETE DE FATIMA DAL PONT MONDARDO,A,A,LG,OES,SAO MIGUEL DO IGUACU,41,34500,,05/01/24,RG,40621324,10/01/24,LIN MONOARDO,0
111466032,424,BARRIM ENERGIA SOLAR SPE LTDA,A,A,LG,NRO,CIANORTE,47,34500,,28/09/23,RG,40622273,28/09/23,EST BOA SORTE,1
111460620,6403,LEANDRO FERNANDO LAGO,A,A,LG,OES,PALOTINA,68,13800,,31/05/23,RG,40622348,31/05/23,RM APARECIDA,0
111459958,5479,COOPERATIVA DE ENERGIA COTESA,A,A,LG,NRT,LOBATO,52,13800,,09/01/24,RG,40682347,09/01/24,GLB RURAL LOBATO,1
111452350,348,SMA METALURGICA LTDA,A,A,LG,NRO,MARINGA,70,13800,,28/11/23,RG,40682528,28/11/23,R PNO ARCIVIDI BRUSCHI,346
111450284,424,MUNICIPIO DE NOVA LONDRINA,A,A,LG,NRO,NOVA LONDRINA,64,13800,,30/01/24,RG,44628754,30/01/24,R JOSE SANTOS PIRES,0
111448964,290,HYCROM CROMODURO LTDA,A,A,LG,NRT,LONDRINA,66,13800,,22/12/23,RG,40682361,22/12/23,AV LUIGI AMORESE,6945
111448611,4642,BATISTA IZEPE LTDA,A,A,LG,NRO,MARIALVA,78,13800,,05/09/23,RG,40623842,05/09/23,ROD BR 376   GOV NEY BRAGA BR 376,1
111436133,78,NOTTAR NOTTAR LTDA,A,A,LG,OES,FOZ DO IGUACU,69,13800,,18/12/23,RG,40625357,18/12/23,R IRANI GARCIA,210
111435854,4686,JBX ESPORTIVA LTDA,A,A,LG,OES,MARECHAL CANDIDO RONDON,68,13800,,03/11/23,RG,35600496,03/11/23,R LUIZ CENTENARO,665
111430887,4638,GRUPO IRANI LTDA,A,A,LG,OES,CASCAVEL,86,13800,,11/01/24,RG,40682398,11/01/24,R GANDHI,851
111421543,8051,AGROCERES PIC SUINOS LTDA,A,A,LG,NRO,PARANAVAI,64,34500,,02/05/23,RG,40622787,02/05/23,EST CRISTO REI A TERRA RICA,1
111411190,90,BARION INDUSTRIA E COMERCIO DE ALIMENTOS S A,A,A,LG,LES,CURITIBA,62,13800,,06/02/24,RG,44628967,06/02/24,AV PRES AFONSO PENNA,20
111395704,8060,LUIZ TADAO NISHIDA,A,A,LG,NRT,SANTANA DO ITARARE,73,13800,,31/10/23,RG,40682327,31/10/23,ROD BR 272,0
111391598,433,PHENOM PARQUE EMPRESARIAL SPE LTDA,A,A,LG,NRO,MARINGA,77,13800,,23/11/23,RG,40682501,23/11/23,AV CARNEIRO LEAO,462
111385903,424,ALDERI MARIA,A,A,LG,OES,SALTO DO LONTRA,25,34500,,09/02/24,RG,44628659,09/02/24,LIN STA HELENA,1
